(91, 13, 92)
(92, 14, 92)
(93, 14, 100)
(94, 14, 100)
(95, 14, 100)
(96, 14, 71)
(97, 14, 35)
(99, 14, 50)
(100, 14, 50)
(101, 14, 71)
(102, 14, 92)
(103, 14, 100)
(104, 14, 100)
(105, 14, 100)
(106, 14, 100)
(107, 14, 100)
(109, 14, 42)
(110, 14, 35)
(111, 14, 71)
(112, 14, 64)
(113, 14, 42)
(114, 14, 35)
(116, 15, 53)
(117, 15, 53)
(118, 15, 53)
(119, 15, 53)
(121, 15, 53)
(123, 15, 66)
(124, 16, 68)
(125, 16, 75)
(126, 16, 87)
(128, 16, 100)
(129, 16, 93)
(130, 16, 100)
(131, 16, 100)
(132, 16, 100)
(133, 16, 100)
(134, 16, 100)
(135, 16, 100)
(136, 16, 100)
(137, 16, 100)
(139, 16, 100)
(140, 16, 93)
(141, 16, 81)
(142, 16, 56)
(143, 16, 43)
(146, 17, 64)
(147, 17, 70)
(148, 17, 76)
(149, 17, 88)
(150, 17, 100)
(151, 17, 88)
(152, 17, 76)
(153, 17, 82)
(154, 17, 88)
(155, 18, 44)
(159, 18, 88)
(160, 18, 100)
(161, 18, 100)
(162, 18, 100)
(164, 18, 50)
(165, 18, 55)
(168, 18, 94)
(169, 18, 100)
(170, 18, 100)
(171, 18, 100)
(172, 18, 100)
(173, 18, 100)
(174, 18, 100)
(175, 18, 100)
(176, 18, 100)
(177, 18, 100)
(178, 18, 100)
(180, 19, 100)
(181, 19, 100)
(182, 19, 100)
(183, 19, 100)
(184, 19, 100)
(185, 19, 63)
(186, 19, 52)
(187, 20, 45)
(188, 20, 65)
(189, 20, 70)
(190, 20, 75)
(191, 20, 85)
(192, 20, 100)
(193, 20, 100)
(194, 20, 90)
(195, 20, 80)
(196, 20, 80)
(199, 21, 57)
(200, 21, 57)
(202, 21, 57)
(207, 21, 90)
(209, 21, 100)
(210, 21, 52)
(211, 21, 100)
(212, 21, 100)
(214, 22, 100)
(215, 22, 100)
(217, 22, 100)
(218, 22, 100)
(133, 13, 30)
(134, 13, 38)
(135, 13, 53)
(137, 14, 35)
(138, 14, 35)
(139, 14, 42)
(140, 14, 50)
(141, 14, 57)
(142, 14, 85)
(143, 14, 85)
(144, 14, 92)
(145, 14, 100)
(146, 15, 93)
(147, 15, 100)
(148, 15, 100)
(149, 15, 100)
(150, 15, 100)
(151, 15, 100)
(152, 15, 100)
(153, 15, 53)
(154, 15, 26)
(156, 16, 12)
(157, 16, 18)
(158, 16, 31)
(160, 17, 52)
(162, 17, 88)
(163, 17, 94)
(164, 17, 100)
(165, 17, 100)
(167, 17, 88)
(168, 17, 88)
(169, 17, 88)
(170, 17, 29)
(172, 17, 35)
(173, 17, 35)
(175, 17, 47)
(176, 17, 58)
(178, 17, 58)
(185, 17, 29)
(187, 17, 100)
(189, 17, 100)
(190, 17, 100)
(191, 17, 76)
(192, 17, 100)
(200, 17, 100)
(201, 17, 100)
(205, 17, 100)
(209, 17, 29)
(211, 17, 35)
(212, 17, 29)
(213, 17, 29)
(214, 17, 41)
(215, 17, 29)
(216, 17, 29)
(217, 17, 17)
(228, 17, 82)
(229, 17, 100)
(230, 17, 100)
(231, 17, 100)
(234, 18, 88)
(235, 18, 83)
(237, 18, 83)
(238, 18, 66)
(239, 18, 50)
(240, 19, 42)
(241, 19, 36)
(242, 19, 26)
(243, 19, 26)
(244, 19, 42)
(246, 20, 45)
(247, 20, 100)
(252, 20, 90)
(253, 20, 90)
(254, 20, 90)
(255, 20, 90)
(260, 22, 77)
(261, 22, 63)
(262, 22, 54)
(263, 22, 45)
(264, 23, 39)
(265, 23, 43)
(266, 23, 52)
(267, 23, 30)
(268, 24, 37)
(269, 24, 41)
(271, 25, 56)
(272, 25, 52)
(273, 25, 68)
(286, 25, 100)
